Timestamp,Date,Time,Pee,Food,Quantity (ml),Notes,Poop
28/03/2021 22:44,28/03/2021,22:22:00,Pee,Breast (Pumped),30,,Poop
29/03/2021 00:21,29/03/2021,00:00:00,Pee,,,,
29/03/2021 00:46,29/03/2021,00:45:00,,Breast (Pumped),30,,
29/03/2021 03:16,29/03/2021,03:10:00,Pee,Breast (Pumped),25,Only a tiny amount of poop,Poop
29/03/2021 04:01,29/03/2021,04:00:00,Pee,,,,
29/03/2021 05:19,29/03/2021,05:15:00,Pee,Breast (Pumped),30,,Poop
29/03/2021 05:31,29/03/2021,05:30:00,,,,,Poop
29/03/2021 08:57,29/03/2021,08:15:00,,Breast (Pumped),30,,
29/03/2021 09:16,29/03/2021,08:30:00,Pee,,,,Poop
29/03/2021 12:11,29/03/2021,12:03:00,,Breast (Pumped),30,,Poop
29/03/2021 14:47,29/03/2021,14:47:00,,,,,Poop
29/03/2021 14:53,29/03/2021,14:53:00,,Breast (Pumped),25,,
29/03/2021 20:03,29/03/2021,18:00:00,,Breast (Pumped),30,,
29/03/2021 22:00,29/03/2021,21:00:00,Pee,Breast (Pumped),20,A little blood on diaper from cord,Poop
29/03/2021 23:11,29/03/2021,23:00:00,,Breast (Pumped),30,,
30/03/2021 03:20,30/03/2021,02:30:00,Pee,Breast (Pumped),30,,Poop
30/03/2021 03:20,30/03/2021,03:00:00,,,,,Poop
30/03/2021 04:41,30/03/2021,04:40:00,,Breast (Pumped),30,,
30/03/2021 08:08,30/03/2021,07:30:00,Pee,Breast (Pumped),30,,Poop
30/03/2021 08:08,30/03/2021,08:00:00,Pee,,,,Poop
30/03/2021 10:18,30/03/2021,10:10:00,,Breast (Pumped),30,,
30/03/2021 10:31,30/03/2021,10:30:00,,,,Tiny amount ,Poop
30/03/2021 12:23,30/03/2021,12:15:00,,Breast (Pumped),20,,
30/03/2021 14:33,30/03/2021,01:20:00,Pee,Breast (Pumped),none,testing,Poop
30/03/2021 15:45,30/03/2021,15:30:00,Pee,Breast (Pumped),25,,Poop
30/03/2021 18:19,30/03/2021,17:30:00,,Breast (Pumped),30,,
30/03/2021 18:19,30/03/2021,18:20:00,Pee,,,,Poop
30/03/2021 21:15,30/03/2021,21:15:00,,Breast (Pumped),30,,
30/03/2021 21:56,30/03/2021,21:45:00,,,,small poop,Poop
30/03/2021 23:36,30/03/2021,23:15:00,,Breast (Pumped),26,,
31/03/2021 00:50,31/03/2021,00:45:00,,,,,Poop
31/03/2021 01:28,31/03/2021,01:25:00,,Breast (Pumped),30,,
31/03/2021 05:10,31/03/2021,05:00:00,,Breast (Pumped),25,,
31/03/2021 07:14,31/03/2021,07:05:00,,Breast (Pumped),30,,
31/03/2021 10:04,31/03/2021,10:00:00,,Breast (Pumped),20,,
31/03/2021 14:02,31/03/2021,13:15:00,Pee,Breast (Pumped),25,,Poop
31/03/2021 16:04,31/03/2021,15:30:00,,Breast (Pumped),30,Added 30 ml neuropro ,Poop
31/03/2021 18:41,31/03/2021,18:00:00,,Breast (Pumped),20,,
31/03/2021 19:15,31/03/2021,19:15:00,,Formula (Neopro),40,,
31/03/2021 22:55,31/03/2021,22:45:00,,Breast (Pumped),35,,
01/04/2021 00:05,31/03/2021,23:45:00,,Formula (Neopro),40,,
01/04/2021 02:50,01/04/2021,02:45:00,,Formula (Neopro),50,,
01/04/2021 03:26,01/04/2021,03:15:00,Pee,,,,Poop
01/04/2021 06:02,01/04/2021,05:50:00,,Breast (Pumped),50,,
01/04/2021 06:36,01/04/2021,06:30:00,Pee,,,,Poop
01/04/2021 08:24,01/04/2021,08:15:00,,Breast (Pumped),55,,
01/04/2021 10:24,01/04/2021,08:45:00,Pee,,,,Poop
01/04/2021 11:10,01/04/2021,11:00:00,,Breast (Pumped),20,,
01/04/2021 11:55,01/04/2021,11:45:00,,Breast (Pumped),30,,
01/04/2021 14:43,01/04/2021,14:35:00,,Breast (Pumped),50,,
01/04/2021 17:36,01/04/2021,17:35:00,,Breast (Pumped),45,,
01/04/2021 19:59,01/04/2021,19:50:00,,Breast (Pumped),60,,
01/04/2021 21:01,01/04/2021,21:00:00,Pee,,,,Poop
01/04/2021 21:32,01/04/2021,21:31:00,,Formula (Neopro),40,Gentlease,
01/04/2021 23:32,01/04/2021,23:15:00,Pee,Formula (Neopro),50,Gentlease ,Poop
02/04/2021 02:41,02/04/2021,02:20:00,Pee,Formula (Neopro),60,Gentlease ,Poop
02/04/2021 06:09,02/04/2021,05:50:00,Pee,Formula (Neopro),50,Gentlease,Poop
02/04/2021 07:47,02/04/2021,07:30:00,,Formula (Neopro),60,Gentlease,
02/04/2021 10:31,02/04/2021,10:20:00,,Breast Pumped,30,,
02/04/2021 13:31,02/04/2021,12:30:00,,Breast (Pumped),40,,
02/04/2021 13:40,02/04/2021,13:40:00,Pee,,,,
02/04/2021 14:31,02/04/2021,13:45:00,,Breast (Pumped),15,,
02/04/2021 15:31,02/04/2021,15:15:00,,Breast (Pumped),40,,
02/04/2021 18:22,02/04/2021,18:00:00,Pee,Breast (Pumped),40,,
02/04/2021 21:18,02/04/2021,20:30:00,,Formula (Neopro),55,,
02/04/2021 23:34,02/04/2021,23:34:00,Pee,,,,
03/04/2021 00:00,02/04/2021,23:50:00,,Formula (Neopro),60,Gentlease,
03/04/2021 01:34,03/04/2021,01:10:00,Pee,,,,Poop
03/04/2021 02:42,03/04/2021,02:00:00,,,,,Poop
03/04/2021 06:40,03/04/2021,06:00:00,Pee,Formula (Neopro),60,Gentlease ,Poop
03/04/2021 10:29,03/04/2021,09:00:00,Pee,Breast (Pumped),50,,Poop
03/04/2021 12:38,03/04/2021,12:30:00,,Breast (Pumped),60,,
03/04/2021 12:56,03/04/2021,12:55:00,Pee,,,,Poop
03/04/2021 15:59,03/04/2021,15:30:00,,Breast (Pumped),60,,
03/04/2021 16:00,03/04/2021,16:00:00,Pee,,,,Poop
03/04/2021 19:17,03/04/2021,18:45:00,,Formula (Neopro),60,Gentlease ,
03/04/2021 22:01,03/04/2021,21:45:00,Pee,Breast (Pumped),60,Big poop after kangaroo care,Poop
04/04/2021 00:24,04/04/2021,00:15:00,,Formula (Neopro),60,Gentlease ,
04/04/2021 01:06,04/04/2021,00:45:00,Pee,,,,Poop
04/04/2021 02:20,04/04/2021,02:16:00,,Formula (Neopro),45,Gentlease ,
04/04/2021 02:57,04/04/2021,02:45:00,Pee,,,,Poop
04/04/2021 03:09,04/04/2021,03:10:00,,Formula (Neopro),10,Gentlease ,
04/04/2021 06:02,04/04/2021,06:00:00,Pee,Breast (Pumped),55,,
04/04/2021 12:26,04/04/2021,09:00:00,Pee,Breast (Pumped),60,,Poop
04/04/2021 12:27,04/04/2021,12:30:00,Pee,Breast (Pumped),60,,Poop
04/04/2021 16:13,04/04/2021,15:45:00,Pee,Breast (Pumped),60,big poo,Poop
04/04/2021 18:53,04/04/2021,18:00:00,,Formula (Neopro),60,Gentlease,
04/04/2021 21:08,04/04/2021,20:15:00,,Breast (Pumped),60,,
04/04/2021 21:08,04/04/2021,21:10:00,Pee,,,,Poop
05/04/2021 00:30,04/04/2021,23:45:00,Pee,Breast (Pumped),60,,Poop
05/04/2021 02:28,05/04/2021,02:00:00,Pee,Formula (Neopro),60,Gentlease,Poop
05/04/2021 04:55,05/04/2021,04:30:00,,Breast (Pumped),60,,
05/04/2021 09:44,05/04/2021,07:30:00,Pee,Breast (Pumped),60,,Poop
05/04/2021 12:52,05/04/2021,10:30:00,Pee,Breast (Pumped),60,,Poop
05/04/2021 14:06,05/04/2021,13:30:00,,Formula (Neopro),60,Gentlease ,
05/04/2021 17:03,05/04/2021,16:45:00,,Formula (Neopro),60,Gentlease ,
05/04/2021 20:18,05/04/2021,19:30:00,,Formula (Neopro Gentlease),60,,
05/04/2021 23:34,05/04/2021,23:15:00,,Breast (Pumped),60,,
06/04/2021 01:44,06/04/2021,01:35:00,Pee,Breast (Pumped),60,,Poop
06/04/2021 04:46,06/04/2021,04:30:00,,Breast (Pumped),60,,
06/04/2021 08:33,06/04/2021,08:00:00,Pee,Breast (Pumped),60,,
06/04/2021 11:42,06/04/2021,11:30:00,Pee,Breast (Pumped),60,,
06/04/2021 14:16,06/04/2021,14:00:00,,Formula (Neopro Gentlease),60,,
06/04/2021 17:06,06/04/2021,17:00:00,,Breast (Pumped),60,,
06/04/2021 22:28,06/04/2021,22:25:00,,Breast (Pumped),60,,